K,Sample_Name,State,state_abbr,index,population_label,Longitude,Latitude,cluster,ancestry
2,Quercus_115,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.116322,33.6862,cluster_1,0.065562
2,Quercus_115,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.116322,33.6862,cluster_2,0.934438
2,Quercus_117,Arkansas,AR,02,02-Hempstead (AR),-93.648149,33.769443,cluster_1,0.99999
2,Quercus_117,Arkansas,AR,02,02-Hempstead (AR),-93.648149,33.769443,cluster_2,1e-5
2,Quercus_118,Mississippi,MS,06,06-Covington (MS),-89.5579229,31.64054,cluster_1,0.99999
2,Quercus_118,Mississippi,MS,06,06-Covington (MS),-89.5579229,31.64054,cluster_2,1e-5
2,Quercus_121,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_1,0.830546
2,Quercus_121,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_2,0.169454
2,Quercus_122,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_1,0.215095
2,Quercus_122,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_2,0.784905
2,Quercus_123,Louisiana,LA,05,05-Union (AR/LA),-92.36307,32.89212,cluster_1,1e-5
2,Quercus_123,Louisiana,LA,05,05-Union (AR/LA),-92.36307,32.89212,cluster_2,0.99999
2,Quercus_124,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_1,0.213051
2,Quercus_124,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_2,0.786949
2,Quercus_126,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_1,0.028715
2,Quercus_126,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.16628,33.679448,cluster_2,0.971285
2,Quercus_127,Arkansas,AR,02,02-Hempstead (AR),-93.86207,33.73726,cluster_1,0.380343
2,Quercus_127,Arkansas,AR,02,02-Hempstead (AR),-93.86207,33.73726,cluster_2,0.619657
2,Quercus_128,Louisiana,LA,05,05-Union (AR/LA),-92.36298,32.8922,cluster_1,1e-5
2,Quercus_128,Louisiana,LA,05,05-Union (AR/LA),-92.36298,32.8922,cluster_2,0.99999
2,Quercus_129,Arkansas,AR,02,02-Hempstead (AR),-93.86183,33.73705,cluster_1,0.424328
2,Quercus_129,Arkansas,AR,02,02-Hempstead (AR),-93.86183,33.73705,cluster_2,0.575672
2,Quercus_131,Arkansas,AR,02,02-Hempstead (AR),-93.648285,33.768616,cluster_1,0.856422
2,Quercus_131,Arkansas,AR,02,02-Hempstead (AR),-93.648285,33.768616,cluster_2,0.143578
2,Quercus_135,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_1,0.99999
2,Quercus_135,Arkansas,AR,02,02-Hempstead (AR),-93.648295,33.767761,cluster_2,1e-5
2,Quercus_138,Louisiana,LA,05,05-Union (AR/LA),-92.36312,32.89231,cluster_1,1e-5
2,Quercus_138,Louisiana,LA,05,05-Union (AR/LA),-92.36312,32.89231,cluster_2,0.99999
2,Quercus_140,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_1,0.99999
2,Quercus_140,Louisiana,LA,01,01-Caddo (LA),-94.01617,32.99099,cluster_2,1e-5
2,Quercus_142,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_1,0.99999
2,Quercus_142,Louisiana,LA,05,05-Union (AR/LA),-92.36477,32.8914,cluster_2,1e-5
2,Quercus_144,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),-93.171023,33.658186,cluster_1,0.092093
