FID,Sample_Name,PID,MID,Sex,Phenotype,admixture_row,State,state_abbr,index,index_new_county_state,Latitude,Longitude,County,Species,Accession,Planting_Number
0,Quercus_190,0,0,0,-9,86,Louisiana,LA,05,05-Union (AR/LA),32.89142,-92.36463,Union,Quercus arkansana,2021-2142,2
0,Quercus_194,0,0,0,-9,87,Arkansas,AR,02,02-Hempstead (AR),33.769443,-93.648149,Hempstead,Quercus arkansana,2021-2157,4
0,Quercus_196,0,0,0,-9,88,Louisiana,LA,05,05-Union (AR/LA),32.89236,-92.3632,Union,Quercus arkansana,2021-2134,4
0,Quercus_198,0,0,0,-9,89,Arkansas,AR,02,02-Hempstead (AR),33.767761,-93.648295,Hempstead,Quercus arkansana,2021-2160,9
0,Quercus_199,0,0,0,-9,90,Louisiana,LA,05,05-Union (AR/LA),32.89223,-92.36307,Union,Quercus arkansana,2021-2136,4
0,Quercus_200,0,0,0,-9,91,Louisiana,LA,05,05-Union (AR/LA),32.89142,-92.36463,Union,Quercus arkansana,2021-2142,7
0,Quercus_202121576,0,0,0,-9,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Quercus_203,0,0,0,-9,93,Louisiana,LA,05,05-Union (AR/LA),32.89231,-92.36312,Union,Quercus arkansana,2021-2135,2
0,Quercus_207,0,0,0,-9,94,Louisiana,LA,05,05-Union (AR/LA),32.89234,-92.36327,Union,Quercus arkansana,2021-2133,2
0,Quercus_211,0,0,0,-9,95,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.68607,-93.11569,Nevada,Quercus arkansana,2021-2171,3
0,Quercus_219,0,0,0,-9,96,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.708172,-93.084421,Ouachita,Quercus arkansana,2021-2172,4
0,Quercus_220,0,0,0,-9,97,Louisiana,LA,05,05-Union (AR/LA),32.8922,-92.36298,Union,Quercus arkansana,2021-2131,4
0,Quercus_222,0,0,0,-9,98,Louisiana,LA,05,05-Union (AR/LA),32.8914,-92.36477,Union,Quercus arkansana,2021-2143,4
0,Quercus_223,0,0,0,-9,99,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.65779,-93.17231,Nevada,Quercus arkansana,2021-2168,2
0,Quercus_227,0,0,0,-9,100,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.708172,-93.084421,Ouachita,Quercus arkansana,2021-2172,5
0,Quercus_231,0,0,0,-9,101,Louisiana,LA,05,05-Union (AR/LA),32.89231,-92.36312,Union,Quercus arkansana,2021-2135,5
0,Quercus_238,0,0,0,-9,102,Mississippi,MS,06,06-Covington (MS),31.64054,-89.5579229,Covington,Quercus arkansana,2021-2128,5
0,Quercus_239,0,0,0,-9,103,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.658186,-93.171023,Nevada,Quercus arkansana,2021-2166,6
0,Quercus_243,0,0,0,-9,104,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.66,-93.17,Nevada,Quercus arkansana,NA,NA
0,Quercus_244,0,0,0,-9,105,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.71,-93.08,Poinsett,Quercus arkansana,NA,NA
0,Quercus_245,0,0,0,-9,106,Louisiana,LA,05,05-Union (AR/LA),32.89,-92.37,Union,Quercus arkansana,NA,NA
0,Quercus_246,0,0,0,-9,107,Louisiana,LA,01,01-Caddo (LA),32.99,-94.02,Caddo,Quercus arkansana,NA,NA
0,Quercus_247,0,0,0,-9,108,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_248,0,0,0,-9,109,Louisiana,LA,05,05-Union (AR/LA),32.88,-92.51,Union,Quercus arkansana,NA,NA
0,Quercus_249,0,0,0,-9,110,Arkansas,AR,02,02-Hempstead (AR),33.77,-93.65,Hempstead,Quercus arkansana,NA,NA
0,Quercus_250,0,0,0,-9,111,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.66,-93.17,Nevada,Quercus arkansana,NA,NA
0,Quercus_251,0,0,0,-9,112,Arkansas,AR,04,04-Nevada-Ouachita-Poinsett (AR),33.71,-93,Ouachita,Quercus arkansana,NA,NA
0,Quercus_252,0,0,0,-9,113,Louisiana,LA,03,03-Webster (LA),32.88,-93.46,Webster,Quercus arkansana,NA,NA
