"sample","called_genotypes","missing_genotypes","missing_rate","heterozygote_genotypes","heterozygote_rate","mean_dp","median_dp","mean_gq"
"Quercus_094",437,5,0.0113122171945701,44,0.0995475113122172,748.056561085973,743,97.7805429864253
"Quercus_099",439,3,0.00678733031674208,68,0.153846153846154,498.717194570136,484,98.2443438914027
"Quercus_100",440,2,0.00452488687782805,65,0.147058823529412,631.846153846154,621,98.5384615384615
"Quercus_101",442,0,0,66,0.149321266968326,899.092760180995,894,99
"Quercus_102",441,1,0.00226244343891403,64,0.144796380090498,645.595022624434,646.5,98.6470588235294
"Quercus_103",441,1,0.00226244343891403,62,0.14027149321267,937.427601809955,891,98.7760180995475
"Quercus_104",430,12,0.0271493212669683,58,0.131221719457014,754.018099547511,748,96.1357466063348
"Quercus_111",415,27,0.0610859728506787,38,0.085972850678733,686.889140271493,663,92.9524886877828
"Quercus_114",442,0,0,65,0.147058823529412,855.877828054299,834,98.9796380090498
"Quercus_115",404,38,0.085972850678733,68,0.153846153846154,371.393665158371,364.5,89.7149321266968
"Quercus_117",424,18,0.0407239819004525,68,0.153846153846154,566.513574660633,555,94.8122171945701
"Quercus_118",441,1,0.00226244343891403,75,0.169683257918552,716.06334841629,706,98.6900452488688
"Quercus_121",433,9,0.0203619909502262,62,0.14027149321267,578.852941176471,576.5,96.7488687782805
"Quercus_122",383,59,0.133484162895928,70,0.158371040723982,321.203619909502,313.5,85.2850678733032
"Quercus_123",428,14,0.0316742081447964,49,0.110859728506787,800.447963800905,765.5,95.8461538461538
"Quercus_124",436,6,0.0135746606334842,67,0.15158371040724,479.570135746606,469,97.5022624434389
"Quercus_126",422,20,0.0452488687782805,67,0.15158371040724,487.647058823529,483,93.8891402714932
"Quercus_127",440,2,0.00452488687782805,46,0.104072398190045,1151.2963800905,1132,98.5407239819005
"Quercus_128",413,29,0.0656108597285068,68,0.153846153846154,532.60407239819,531,92.3031674208145
"Quercus_129",435,7,0.0158371040723982,18,0.0407239819004525,1343.90045248869,1387,97.4027149321267
"Quercus_131",439,3,0.00678733031674208,57,0.1289592760181,930.162895927602,903,98.3733031674208
"Quercus_135",410,32,0.0723981900452489,66,0.149321266968326,421.91628959276,418.5,90.8325791855204
"Quercus_138",442,0,0,64,0.144796380090498,1276.5,1242,99
"Quercus_140",432,10,0.0226244343891403,35,0.0791855203619909,1081.11990950226,1053,96.4954751131222
"Quercus_142",410,32,0.0723981900452489,59,0.133484162895928,499.907239819005,488.5,91.2556561085973
"Quercus_144",442,0,0,64,0.144796380090498,769.117647058824,749,99
"Quercus_145",440,2,0.00452488687782805,48,0.108597285067873,880.5407239819,880,98.4796380090498
"Quercus_147",402,40,0.0904977375565611,46,0.104072398190045,772.149321266968,741,89.6538461538462
"Quercus_150",378,64,0.144796380090498,70,0.158371040723982,440.81221719457,445.5,83.3031674208145
"Quercus_152",439,3,0.00678733031674208,64,0.144796380090498,526.165158371041,513.5,98.2398190045249
"Quercus_157",439,3,0.00678733031674208,66,0.149321266968326,458.147058823529,449,98.2556561085973
"Quercus_158",440,2,0.00452488687782805,68,0.153846153846154,609.909502262443,598,98.552036199095
"Quercus_159",439,3,0.00678733031674208,68,0.153846153846154,571.780542986425,555.5,98.3823529411765
"Quercus_163",442,0,0,64,0.144796380090498,681.685520361991,667,99
"Quercus_165",442,0,0,64,0.144796380090498,868.371040723982,876,99
"Quercus_169",442,0,0,64,0.144796380090498,757.095022624434,744,99
"Quercus_170",439,3,0.00678733031674208,66,0.149321266968326,497.938914027149,495,98.0497737556561
"Quercus_173",440,2,0.00452488687782805,64,0.144796380090498,765.671945701357,734,98.552036199095
"Quercus_180",431,11,0.0248868778280543,36,0.081447963800905,1268.3778280543,1198,96.5361990950226
"Quercus_181",437,5,0.0113122171945701,66,0.149321266968326,480.407239819005,460,97.7239819004525
"Quercus_185",442,0,0,64,0.144796380090498,750.391402714932,715,99
"Quercus_186",407,35,0.0791855203619909,32,0.0723981900452489,854.029411764706,824,90.8076923076923
"Quercus_187",442,0,0,67,0.15158371040724,639.981900452489,626,98.9298642533937
"Quercus_189",424,18,0.0407239819004525,66,0.149321266968326,482.393665158371,472,94.8461538461538
"Quercus_190",442,0,0,65,0.147058823529412,744.925339366516,710,99
"Quercus_194",422,20,0.0452488687782805,36,0.081447963800905,1553.06334841629,1445.5,94.4343891402715
"Quercus_196",432,10,0.0226244343891403,21,0.0475113122171946,943.5407239819,953,96.0837104072398
"Quercus_198",371,71,0.160633484162896,60,0.135746606334842,481.099547511312,440,82.0022624434389
"Quercus_199",433,9,0.0203619909502262,48,0.108597285067873,702.443438914027,685,96.7488687782805
"Quercus_200",442,0,0,65,0.147058823529412,794.070135746606,779,99
"Quercus_203",425,17,0.0384615384615385,48,0.108597285067873,737.373303167421,716,95.1923076923077
"Quercus_207",441,1,0.00226244343891403,65,0.147058823529412,682.092760180995,652,98.7647058823529
"Quercus_211",440,2,0.00452488687782805,67,0.15158371040724,599.882352941176,596,98.4819004524887
"Quercus_219",442,0,0,64,0.144796380090498,788.031674208145,777,99
"Quercus_220",429,13,0.0294117647058824,53,0.119909502262443,727.91628959276,695,96.0882352941177
"Quercus_222",395,47,0.106334841628959,64,0.144796380090498,470.307692307692,469,88.0316742081448
"Quercus_223",440,2,0.00452488687782805,57,0.1289592760181,879.036199095023,889,98.552036199095
"Quercus_227",442,0,0,64,0.144796380090498,662.106334841629,649,98.89592760181
"Quercus_231",442,0,0,61,0.138009049773756,1157.25791855204,1216,98.868778280543
"Quercus_238",434,8,0.0180995475113122,68,0.153846153846154,613.359728506787,613,97.2081447963801
"Quercus_239",442,0,0,64,0.144796380090498,641.538461538462,630,99
"Quercus_243",430,12,0.0271493212669683,68,0.153846153846154,423.248868778281,397,96.2466063348416
"Quercus_244",392,50,0.113122171945701,80,0.180995475113122,203.606334841629,199,86.4027149321267
"Quercus_245",431,11,0.0248868778280543,68,0.153846153846154,351.703619909502,338,96.2850678733032
"Quercus_246",438,4,0.00904977375565611,60,0.135746606334842,581.287330316742,555,97.8190045248869
"Quercus_247",442,0,0,56,0.126696832579186,792.843891402715,747,99
"Quercus_248",367,75,0.169683257918552,42,0.0950226244343891,394.776018099548,386,81.314479638009
"Quercus_249",441,1,0.00226244343891403,66,0.149321266968326,567.531674208145,523,98.7805429864253
